"Story","Title","Result","Date","Stability","Duration (s)"
"Test of service in web page Choucair","Verify new page option Peformance","SUCCESS","2020-05-22T10:46:47.037-05:00[America/Bogota]","0.0","33.08"
"Test of service in web page Choucair","Verify new page option certification","SUCCESS","2020-05-22T10:47:21.223-05:00[America/Bogota]","0.0","18.81"
